filial_venda,seq_nota_fiscal,cod_produto_venda,qtd_venda,um_venda,preco_unit_venda,total_venda,cod_vendedor,estado,dt_emissao,nome_cliente,chave_cliente
01006,213829,PA01010005,50,CX,-,-,000012,SC,26/11/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,183548,PA01010005,50,CX,-,-,000012,SC,25/06/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,208370,PA01010005,60,CX,-,-,000012,SC,28/10/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,166442,PA01010005,50,CX,-,-,000012,SC,27/03/2024,ASSOCIACAO CENTRAL DE COMPRAS DA REGIAO DE CONCORDIA,025088140001
01006,206060,PA01020011,13,CX,-,-,000012,SC,15/10/2024,BRASAO SUPERMERCADOS S/A,833079260015
01006,206058,PA01020009,16,CX,-,-,000012,SC,15/10/2024,BRASAO SUPERMERCADOS S/A,833079260015
01006,216525,PA01020009,26,CX,-,-,000012,SC,06/12/2024,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,216525,PA01020009,26,CX,-,-,000012,SC,06/12/2024,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,192846,PA01020009,10,CX,-,-,000012,SC,09/08/2024,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,228195,PA01020015,75,CX,-,-,000012,SC,31/01/2025,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,192846,PA01020009,10,CX,-,-,000012,SC,09/08/2024,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,158288,PA01010005,120,CX,-,-,000012,SC,14/02/2024,REDE ALIANCA DE SUPERMERCADOS - RAS,063222230001
01006,178443,PA01020012,40,CX,-,-,000009,SC,31/05/2024,ATACADAO S.A. LJ 203,753153330203
01006,178445,PA01020015,171,CX,-,-,000009,SC,31/05/2024,ATACADAO S.A. LJ 203,753153330203
01006,165415,PA01020015,169,CX,-,-,000009,SC,22/03/2024,ATACADAO S.A. LJ 203,753153330203
01003,163451,PA01010005,1.200,CX,-,-,000009,SC,11/03/2024,OESA COMERCIO E REPRESENTACOES S/A,816119310022
01003,162116,PA01010005,350,CX,-,-,000009,SC,02/03/2024,S.O.S ALIMENTOS E TRANSPORTES LTDA,050379800001
01003,154124,PA01010001,350,CX,-,-,000009,SC,23/01/2024,S.O.S ALIMENTOS E TRANSPORTES LTDA,050379800001
01003,166497,PA01010001,290,CX,-,-,000009,SC,27/03/2024,S.O.S ALIMENTOS E TRANSPORTES LTDA,050379800001
01006,199154,PA01020009,10,CX,-,-,000009,SC,10/09/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01006,199152,PA01020015,294,CX,-,-,000009,SC,10/09/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01006,190183,PA01010005,400,CX,-,-,000009,SC,26/07/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01006,196180,PA01010005,530,CX,-,-,000009,SC,27/08/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01006,211126,PA01010005,530,CX,-,-,000009,SC,11/11/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01003,155015,PA01010001,1.340,CX,-,-,000009,SC,26/01/2024,SEGALAS ALIMENTOS LTDA.,013339840002
01003,167054,PA01010006,58,CX,-,-,000009,SC,01/04/2024,SUPERMERCADO SUPERPAO S/A,778833200004
01003,154528,PA01010006,19,CX,-,-,000009,SC,24/01/2024,SUPERMERCADO SUPERPAO S/A,778833200004
01006,220157,PA01020009,100,CX,-,-,000035,SC,23/12/2024,FECOAGRO - FEDERACAO DAS COOPERATIVAS AGROPECUARIAS DO ESTADO DE SANTA CATARINA -,830524070002
01006,220157,PA01020009,100,CX,-,-,000035,SC,23/12/2024,FECOAGRO - FEDERACAO DAS COOPERATIVAS AGROPECUARIAS DO ESTADO DE SANTA CATARINA -,830524070002
01006,216103,PA01020008,105,CX,-,-,000010,SC,05/12/2024,IRMAOS ZAT LTDA,821710180006
01003,167078,PA01010001,20,CX,-,-,000019,RJ,01/04/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,172768,PA01010001,110,CX,-,-,000019,RJ,02/05/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,162972,PA01010001,120,CX,-,-,000019,RJ,08/03/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,169201,PA01010001,710,CX,-,-,000019,RJ,10/04/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,164744,PA01010001,440,CX,-,-,000019,RJ,15/03/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,171724,PA01010001,1.580,CX,-,-,000019,RJ,26/04/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,166452,PA01010001,350,CX,-,-,000019,RJ,27/03/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,174027,PA01010001,560,CX,-,-,000019,RJ,10/05/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,160969,PA01010001,410,CX,-,-,000016,SP,26/02/2024,ATACADAO S.A. CD SP,753153330111
01003,159252,PA01010001,400,CX,-,-,000016,SP,20/02/2024,ATACADAO S.A. CD SP,753153330111
01003,167826,PA01010001,10,CX,-,-,000000,SP,03/04/2024,BOI FORTE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,169770240001
01003,162817,PA01010001,520,CX,-,-,000025,BA,07/03/2024,DRIFT COMERCIO DE ALIMENTOS S/A.,281292600023
01003,162819,PA01010001,520,CX,-,-,000025,ES,07/03/2024,DRIFT COMERCIO DE ALIMENTOS S/A.,281292600023
01003,180019,PA01010001,250,CX,-,-,000026,SP,07/06/2024,MASTER ATS SUPERMERCADOS LTDA,018741660015
01003,188324,PA01010001,100,CX,-,-,000026,SP,18/07/2024,MASTER ATS SUPERMERCADOS LTDA,018741660015
01003,169156,PA01010001,60,CX,-,-,000026,SP,10/04/2024,MASTER ATS SUPERMERCADOS LTDA,018741660015
01003,153058,PA01010001,440,CX,-,-,000026,SP,16/01/2024,MIXTER ATACADO E VAREJO DE GENEROS ALIMENTICIOS LTDA,077055300004
01003,166904,PA01010001,480,CX,-,-,000026,SP,29/03/2024,MIXTER ATACADO E VAREJO DE GENEROS ALIMENTICIOS LTDA,077055300004
01003,153556,PA01010001,440,CX,-,-,000026,SP,18/01/2024,MIXTER ATACADO E VAREJO DE GENEROS ALIMENTICIOS LTDA,077055300004
01003,174033,PA01010001,750,CX,-,-,000019,GO,10/05/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,164735,PA01010001,1.810,CX,-,-,000019,GO,15/03/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,166357,PA01010001,980,CX,-,-,000019,GO,27/03/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,171726,PA01010001,2.750,CX,-,-,000019,GO,26/04/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,172770,PA01010001,1.250,CX,-,-,000019,GO,02/05/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01009,155986,PA01010001,1.240,CX,-,-,000009,PR,01/02/2024,ATACADAO S.A  LJ 177 CD,753153330177
01009,167380,PA01010001,920,CX,-,-,000009,PR,02/04/2024,ATACADAO S.A. LJ 135,753153330135
01009,160042,PA01010001,910,CX,-,-,000021,PR,22/02/2024,ATACADAO S.A. LJ 222,753153330222
01009,167392,PA01010001,460,CX,-,-,000009,PR,02/04/2024,ATACADAO S.A. LJ 300,753153330300
